Timestamp,Source IP Address,Destination IP Address,Protocol,Packet Size (Bytes),Connection Duration (sec),Number of Packets,Attack Label
5/30/2023 6:33,103.216.15.12,84.9.164.252,ICMP,503,1.36,15,Malware
8/26/2020 7:08,78.199.217.198,66.191.137.154,ICMP,1174,1.51,23,Malware
11/13/2022 8:23,63.79.210.48,198.219.82.17,UDP,306,5.73,4,DDoS
7/2/2023 10:38,163.42.196.10,101.228.192.255,UDP,385,4.37,2,Malware
7/16/2023 13:11,71.166.185.76,189.243.174.238,TCP,1462,14.78,26,DDoS
10/28/2022 13:14,198.102.5.160,147.190.155.133,UDP,1423,9.19,44,Malware
5/16/2022 17:55,97.253.103.59,77.16.101.53,TCP,379,7.15,3,DDoS
2/12/2023 7:13,11.48.99.245,178.157.14.116,ICMP,1022,0.67,26,Intrusion
6/27/2023 11:02,49.32.208.167,72.202.237.9,TCP,1281,25.41,48,Intrusion
8/15/2021 22:29,114.109.149.113,160.88.194.172,UDP,224,6.4,1,Malware
7/20/2022 13:28,177.21.83.200,196.218.124.169,ICMP,661,1.3,8,Malware
6/26/2022 15:15,92.4.25.171,112.43.185.24,TCP,281,22.22,3,Malware
9/30/2020 21:35,57.91.207.84,98.96.110.38,ICMP,64,1.08,1,Intrusion
1/13/2021 2:30,80.28.21.123,111.204.103.106,ICMP,1341,0.45,19,Malware
2/1/2023 13:17,54.163.130.178,62.112.149.214,UDP,913,4.75,7,Malware
9/15/2023 20:35,130.163.192.252,12.192.2.112,TCP,425,14.47,4,Intrusion
4/18/2023 16:46,4.255.187.165,136.159.186.239,TCP,838,13.52,15,DDoS
2/21/2023 7:02,212.164.196.41,32.26.31.49,TCP,969,12.67,7,DDoS
12/29/2020 2:50,119.101.120.119,47.125.34.52,TCP,124,9.54,2,DDoS
7/27/2020 0:00,104.176.150.78,110.80.185.102,TCP,461,21.66,2,DDoS
7/16/2021 20:45,116.61.253.182,170.92.148.90,ICMP,845,1.12,6,Malware
4/29/2022 14:46,214.247.90.42,196.26.121.164,UDP,410,5.43,2,Malware
2/24/2023 6:39,57.7.171.107,76.146.23.52,UDP,1425,3.32,29,DDoS
9/15/2023 15:43,46.236.76.78,68.194.124.162,UDP,118,9.05,1,Malware
10/6/2023 6:53,71.41.31.239,105.193.254.47,TCP,1386,18.99,34,DDoS
10/6/2023 2:37,128.47.86.24,9.149.23.14,UDP,433,5.8,4,Intrusion
1/31/2021 3:12,182.232.245.98,153.211.183.215,UDP,531,9.47,6,Malware
8/28/2020 9:54,208.44.127.159,121.167.40.167,TCP,282,17.61,3,DDoS
5/29/2021 15:33,197.137.61.248,87.49.219.65,ICMP,1487,1.91,20,Intrusion
5/30/2022 18:26,69.60.34.24,160.208.108.125,UDP,563,6.64,11,Intrusion
